"lambda, nm",intensivity (0 deg),intensivity (5 deg),intensivity (10 deg),intensivity (15 deg),intensivity (20 deg),intensivity (25 deg),intensivity (30 deg),intensivity (35 deg),intensivity (40 deg),intensivity (45 deg),intensivity (50 deg),intensivity (55 deg),intensivity (60 deg),intensivity (65 deg),intensivity (70 deg),intensivity (75 deg),intensivity (80 deg),intensivity (85 deg)
1089.831,100.0,100.0,100.0,100.0,57.143,71.429,85.714,94.286,100.0,100.0,91.429,100.0,82.857,77.143,100.0,82.857,77.143,100.0
1090.071,100.0,100.0,100.0,85.185,14.815,100.0,100.0,96.296,100.0,100.0,96.296,100.0,55.556,51.852,51.852,48.148,33.333,100.0
1090.311,100.0,100.0,100.0,50.0,100.0,89.286,100.0,100.0,100.0,50.0,100.0,96.429,39.286,50.0,35.714,28.571,42.857,100.0
1090.551,100.0,100.0,100.0,91.667,100.0,100.0,100.0,100.0,100.0,100.0,91.667,100.0,4.167,58.333,70.833,20.833,100.0,75.0
1090.791,100.0,100.0,100.0,80.952,100.0,19.048,100.0,100.0,100.0,66.667,66.667,100.0,0.0,100.0,9.524,0.0,100.0,47.619
1091.031,100.0,100.0,100.0,51.429,100.0,62.857,100.0,100.0,100.0,31.429,100.0,77.143,48.571,82.857,51.429,48.571,62.857,71.429
1091.271,55.172,89.655,82.759,58.621,74.138,100.0,100.0,100.0,100.0,79.31,86.207,100.0,86.207,91.379,74.138,75.862,55.172,86.207
1091.511,16.667,63.333,63.333,20.0,46.667,83.333,100.0,83.333,95.0,78.333,61.667,95.0,76.667,86.667,91.667,40.0,15.0,60.0
1091.751,20.833,75.0,54.167,0.0,79.167,100.0,100.0,100.0,100.0,54.167,100.0,100.0,100.0,100.0,100.0,62.5,0.0,12.5
1091.991,100.0,75.0,60.714,75.0,100.0,100.0,64.286,100.0,100.0,60.714,100.0,85.714,100.0,100.0,89.286,100.0,50.0,25.0
1092.231,100.0,94.595,97.297,100.0,100.0,100.0,100.0,100.0,100.0,45.946,91.892,100.0,100.0,100.0,100.0,100.0,86.486,51.351
1092.471,31.818,4.545,59.091,54.545,100.0,100.0,54.545,63.636,45.455,0.0,18.182,81.818,90.909,68.182,0.0,36.364,0.0,0.0
1092.711,59.259,3.704,62.963,59.259,48.148,66.667,0.0,48.148,0.0,11.111,0.0,33.333,66.667,88.889,14.815,37.037,0.0,0.0
1092.951,57.143,100.0,100.0,28.571,100.0,100.0,0.0,85.714,0.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,57.143,0.0
1093.190,44.444,77.778,55.556,44.444,100.0,100.0,100.0,100.0,55.556,0.0,33.333,77.778,55.556,0.0,88.889,100.0,88.889,0.0
1093.430,0.0,0.0,18.182,100.0,100.0,100.0,100.0,100.0,0.0,0.0,36.364,81.818,100.0,100.0,45.455,0.0,18.182,0.0
1093.670,63.158,0.0,57.895,100.0,84.211,0.0,73.684,100.0,0.0,0.0,47.368,0.0,0.0,63.158,15.789,0.0,0.0,0.0
1093.910,64.286,50.0,100.0,100.0,100.0,85.714,78.571,100.0,78.571,0.0,0.0,0.0,0.0,100.0,100.0,0.0,35.714,0.0
1094.150,100.0,86.667,100.0,100.0,100.0,100.0,93.333,100.0,93.333,46.667,16.667,23.333,83.333,43.333,70.0,40.0,73.333,0.0
1094.390,5.263,10.526,100.0,57.895,100.0,0.0,15.789,100.0,57.895,0.0,42.105,0.0,10.526,0.0,0.0,0.0,73.684,0.0
1094.630,12.0,50.0,22.0,50.0,34.0,0.0,40.0,76.0,56.0,38.0,20.0,36.0,64.0,2.0,2.0,0.0,42.0,0.0
1094.869,0.0,100.0,0.0,41.379,0.0,13.793,44.828,100.0,62.069,34.483,31.034,65.517,100.0,24.138,44.828,0.0,41.379,0.0
1095.109,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,16.667,100.0
1095.349,76.923,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,69.231,0.0,92.308
1095.589,58.824,52.941,100.0,88.235,100.0,35.294,23.529,0.0,23.529,64.706,0.0,100.0,11.765,0.0,52.941,17.647,0.0,0.0
1095.829,77.778,55.556,55.556,0.0,100.0,88.889,0.0,0.0,66.667,100.0,55.556,83.333,33.333,0.0,50.0,0.0,100.0,0.0
1096.069,12.5,100.0,87.5,87.5,81.25,100.0,100.0,0.0,100.0,100.0,100.0,93.75,31.25,12.5,81.25,100.0,87.5,37.5
1096.308,0.0,100.0,100.0,100.0,27.273,95.455,100.0,4.545,100.0,100.0,100.0,95.455,45.455,45.455,9.091,100.0,45.455,72.727
1096.548,0.0,100.0,78.947,100.0,0.0,78.947,100.0,57.895,26.316,100.0,5.263,100.0,0.0,89.474,5.263,100.0,0.0,0.0
1096.788,12.5,100.0,100.0,18.75,25.0,31.25,87.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.75,0.0,0.0
1097.028,65.385,100.0,100.0,42.308,96.154,50.0,80.769,73.077,53.846,23.077,65.385,92.308,0.0,34.615,15.385,100.0,0.0,15.385
1097.267,24.242,100.0,90.909,39.394,48.485,30.303,18.182,93.939,27.273,27.273,39.394,63.636,18.182,30.303,12.121,84.848,0.0,45.455
1097.507,0.0,100.0,38.462,58.974,66.667,10.256,30.769,56.41,2.564,0.0,28.205,0.0,0.0,0.0,5.128,0.0,0.0,0.0
1097.747,33.784,45.946,1.351,33.784,50.0,24.324,40.541,52.703,21.622,0.0,20.27,14.865,10.811,0.0,20.27,0.0,13.514,0.0
1097.987,28.846,32.692,30.769,44.231,57.692,63.462,9.615,76.923,19.231,34.615,0.0,61.538,67.308,0.0,42.308,0.0,5.769,11.538
1098.226,0.0,0.0,0.0,36.842,57.895,26.316,0.0,5.263,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
1098.466,68.966,79.31,93.103,100.0,100.0,100.0,48.276,100.0,72.414,86.207,72.414,100.0,100.0,100.0,96.552,82.759,20.69,58.621
1098.706,100.0,100.0,100.0,100.0,100.0,100.0,69.231,100.0,100.0,69.231,38.462,100.0,100.0,100.0,100.0,100.0,84.615,80.769
1098.945,100.0,42.857,66.667,28.571,28.571,9.524,21.429,90.476,47.619,47.619,26.19,66.667,80.952,57.143,30.952,35.714,80.952,4.762
1099.185,87.234,21.277,44.681,42.553,57.447,6.383,8.511,100.0,27.66,72.34,87.234,65.957,53.191,53.191,89.362,19.149,76.596,12.766
1099.425,0.0,52.381,100.0,100.0,80.952,14.286,0.0,100.0,66.667,71.429,100.0,61.905,85.714,0.0,100.0,0.0,61.905,0.0
1099.664,30.0,55.0,100.0,40.0,100.0,65.0,35.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,60.0,10.0,10.0,5.0
